"GameID","GameDate","NumberOfInjuries","SQRTNumberOfInjuries","Week","RestDays","RushYards","PassYards","TotalYards","PointsScored","PercentYardsRush","Surface","CategoriesRestDays"
2023102908,"2023-10-29",3,1.73205080756888,8,14,143,703,846,69,0.16903073286052,"Grass","Normal"
2023102909,"2023-10-29",3,1.73205080756888,8,14,269,478,747,44,0.360107095046854,"Turf","Normal"
2023102910,"2023-10-29",4,2,8,14,259,319,578,55,0.448096885813149,"Grass","Normal"
2023102911,"2023-10-29",2,1.4142135623731,8,14,215,299,514,33,0.418287937743191,"Grass","Normal"
2023102912,"2023-10-29",2,1.4142135623731,8,20,247,613,860,48,0.287209302325581,"Grass","Long"
2023102913,"2023-10-29",3,1.73205080756888,8,14,127,520,647,43,0.19629057187017,"Turf","Normal"
2023103000,"2023-10-30",6,2.44948974278318,8,16,302,341,643,40,0.469673405909798,"Turf","Normal"
2023110200,"2023-11-02",6,2.44948974278318,9,8,271,395,666,36,0.406906906906907,"Grass","Short"
2023110500,"2023-11-05",3,1.73205080756888,9,14,210,349,559,35,0.37567084078712,"Grass","Normal"
2023110501,"2023-11-05",3,1.73205080756888,9,14,256,477,733,59,0.34924965893588,"Turf","Normal"
2023110502,"2023-11-05",5,2.23606797749979,9,14,326,340,666,40,0.48948948948949,"Grass","Normal"
2023110503,"2023-11-05",9,3,9,14,154,230,384,27,0.401041666666667,"Grass","Normal"
2023110504,"2023-11-05",3,1.73205080756888,9,14,252,326,578,23,0.43598615916955,"Grass","Normal"
2023110505,"2023-11-05",5,2.23606797749979,9,17,134,694,828,76,0.161835748792271,"Turf","Long"
2023110506,"2023-11-05",2,1.4142135623731,9,14,231,528,759,37,0.304347826086957,"Turf","Normal"
2023110507,"2023-11-05",5,2.23606797749979,9,14,243,426,669,41,0.36322869955157,"Turf","Normal"
2023110508,"2023-11-05",4,2,9,14,216,257,473,40,0.456659619450317,"Turf","Normal"
2023110509,"2023-11-05",4,2,9,13,248,363,611,36,0.405891980360065,"Grass","Normal"
2023110510,"2023-11-05",8,2.82842712474619,9,14,182,516,698,51,0.260744985673352,"Grass","Normal"
2023110511,"2023-11-05",5,2.23606797749979,9,17,122,592,714,42,0.170868347338936,"Turf","Long"
2023110600,"2023-11-06",0,0,9,16,148,313,461,33,0.321041214750542,"Turf","Normal"
2023110900,"2023-11-09",0,0,10,8,176,332,508,29,0.346456692913386,"Grass","Short"
2023111200,"2023-11-12",3,1.73205080756888,10,14,237,367,604,16,0.392384105960265,"Grass","Normal"
2023111201,"2023-11-12",9,3,10,14,284,395,679,64,0.418262150220913,"Grass","Normal"
2023111202,"2023-11-12",5,2.23606797749979,10,14,254,670,924,57,0.274891774891775,"Turf","Normal"
2023111203,"2023-11-12",3,1.73205080756888,10,28,203,455,658,37,0.308510638297872,"Grass","Long"
2023111204,"2023-11-12",7,2.64575131106459,10,14,190,478,668,46,0.284431137724551,"Turf","Normal"
2023111205,"2023-11-12",3,1.73205080756888,10,17,321,402,723,42,0.443983402489627,"Grass","Long"
2023111206,"2023-11-12",1,1,10,17,119,430,549,26,0.216757741347905,"Turf","Long"
2023111207,"2023-11-12",4,2,10,14,306,300,606,48,0.504950495049505,"Grass","Normal"
2023111208,"2023-11-12",2,1.4142135623731,10,19,298,656,954,79,0.312368972746331,"Turf","Long"
2023111209,"2023-11-12",2,1.4142135623731,10,14,279,533,812,66,0.3435960591133,"Turf","Normal"
2023111210,"2023-11-12",2,1.4142135623731,10,14,188,657,845,55,0.222485207100592,"Turf","Normal"
2023111211,"2023-11-12",3,1.73205080756888,10,13,256,383,639,28,0.400625978090767,"Grass","Normal"
2023111300,"2023-11-13",3,1.73205080756888,10,23,314,355,669,46,0.469357249626308,"Turf","Long"
